FID,LANDMARKNA,STNO,STNAME,SUFFIX,OWNERSHIP,CITY,UNITID,SERVSTAT,LAT,LONG,nBaseball,nBasket,nBocce,nCricket,nIceRink,nPlaySite,nSoccer,nSoftball,nSprayPad,nTennis
127,NOT YET NAMED (P-459) *(CHURCHILL MEADOWS COMMUNITY PARK),5320,NINTH LINE,,CITY OF MISSISSAUGA,MISSISSAUGA,P-459,WIP,43.541783,-79.745147,0,0,0,0,0,0,0,0,0,0
128,DERRY SIDE GREEN,7889,TRANMERE,DR,CITY OF MISSISSAUGA,MISSISSAUGA,P-225,OPEN,43.678491,-79.671871,0,0,0,0,0,0,2,0,0,0
129,DUNTON ATHLETIC FIELDS,6180,KENNEDY,RD,CITY OF MISSISSAUGA,MISSISSAUGA,P-224,OPEN,43.638396,-79.674588,0,0,0,0,0,0,0,4,0,0
131,LORNEWOOD CREEK TRAIL,880,QUEEN,ST,CITY OF MISSISSAUGA,MISSISSAUGA,P-182,OPEN,43.537194,-79.605689,0,0,0,0,0,0,0,0,0,0
132,ERIN MEADOWS,2800,ERIN CENTRE,BLVD,CITY OF MISSISSAUGA,MISSISSAUGA,P-447,OPEN,43.555333,-79.71798,0,6,0,0,0,0,0,0,0,0
134,SPARLING WOODS,3800,ERIN CENTRE,BLVD,CITY OF MISSISSAUGA,MISSISSAUGA,P-404,OPEN,43.541419,-79.736744,0,0,0,0,0,0,0,0,0,0
135,NOT YET NAMED (P-403) *(BETWEEN TENTH LINE AND OSCAR PETERSON BLVD| SOUTH OF THOMAS),5515,TENTH LINE WEST,,CITY OF MISSISSAUGA,MISSISSAUGA,P-403,OPEN,43.557849,-79.738483,0,0,0,0,0,0,0,0,0,0
136,F.B. MCFARREN MEMORIAL PARK,5255,MCFARREN,BLVD,CITY OF MISSISSAUGA,MISSISSAUGA,P-367,OPEN,43.567876,-79.717163,0,0,0,0,0,1,1,0,0,0
137,DUNN PARK,4066,ERIN MILLS,PKY,CITY OF MISSISSAUGA,MISSISSAUGA,P-366,OPEN,43.54892,-79.689167,0,0,0,0,0,0,0,0,0,0
138,APPLEDALE PARK,1325,LAKESHORE,RD,CITY OF MISSISSAUGA,MISSISSAUGA,P-329,OPEN,43.583983,-79.552326,0,0,0,0,0,0,0,0,0,0
139,MEADOWVALE CONSERVATION AREA,1081,OLD DERRY,RD,CREDIT VALLEY CONSERVATION,MISSISSAUGA,P-328,OPEN,43.628579,-79.743822,0,0,0,0,0,0,0,0,0,0
140,CAWTHRA PARK,1399,CAWTHRA,RD,CITY OF MISSISSAUGA,MISSISSAUGA,P-074,OPEN,43.580648,-79.57735,0,0,0,0,0,0,1,0,0,0
141,CLARKSON PARK,1125,WINSTON CHURCHILL,BLVD,CITY OF MISSISSAUGA,MISSISSAUGA,P-073,OPEN,43.500999,-79.647123,1,0,0,0,1,1,1,0,0,0
142,FORESTVIEW PARK,2021,BARSUDA,DR,CITY OF MISSISSAUGA,MISSISSAUGA,P-039,OPEN,43.518814,-79.636266,0,0,0,0,0,1,0,0,0,0
143,PLOWMAN'S PARK,6411,GLEN ERIN,DR,CITY OF MISSISSAUGA,MISSISSAUGA,P-150,OPEN,43.582354,-79.750246,0,0,0,0,0,1,0,0,0,0
144,FRANK DOWLING PARK,16,BROOKSIDE,DR,CITY OF MISSISSAUGA,MISSISSAUGA,P-115,OPEN,43.584732,-79.722714,0,0,0,0,0,0,0,1,0,0
145,STREETSVILLE MEMORIAL PARK,335,CHURCH,ST,CITY OF MISSISSAUGA,MISSISSAUGA,P-114,OPEN,43.579964,-79.707009,0,0,1,0,0,1,2,1,0,0
146,PATHFINDER WAY,1510,ARGENTIA,RD,CITY OF MISSISSAUGA,MISSISSAUGA,P-085,OPEN,43.607935,-79.727385,0,0,0,0,0,0,0,0,0,0
147,RICHARD JONES PARK,181,WHITCHURCH,MEWS,CITY OF MISSISSAUGA,MISSISSAUGA,P-084,OPEN,43.58747,-79.61482,0,0,0,0,0,0,0,0,0,0
148,LESLIE TRAIL,2199,MEADOWVALE,BLVD,CITY OF MISSISSAUGA,MISSISSAUGA,P-277,OPEN,43.60952,-79.765625,0,0,0,0,0,0,0,0,0,0
149,MEADOWVALE SPORTS PARK,2255,MEADOWVALE,BLVD,CITY OF MISSISSAUGA,MISSISSAUGA,P-276,OPEN,43.607221,-79.76154,1,0,0,0,0,0,1,2,0,0
150,TWIN OAKS PARK,1265,TWIN OAKS DELL,,CITY OF MISSISSAUGA,MISSISSAUGA,P-009,OPEN,43.531654,-79.619298,0,0,0,0,0,1,0,0,0,0
151,SANDGATE PARK,1650,SANDGATE,CRES,CITY OF MISSISSAUGA,MISSISSAUGA,P-008,OPEN,43.509327,-79.655852,0,0,0,0,0,1,0,1,0,0
152,NOT TO BE NAMED (P-235) *(NE OF DUNDAS AND WINSTON CHURCHILL),3060,WOODCHESTER,DR,CITY OF MISSISSAUGA,MISSISSAUGA,P-235,OPEN,43.527078,-79.680732,0,0,0,0,0,0,0,0,0,0
153,NOT TO BE NAMED (P-234) * (BETWEEN KNARESWOOD DR AND PINE TREE CRES),1527,KNARESWOOD,DR,JOINT OWNERSHIP,MISSISSAUGA,P-234,OPEN,43.555332,-79.609019,0,0,0,0,0,0,0,0,0,0
154,NOT YET NAMED (P-513)*,0,ZAHAVY,WAY,CITY OF MISSISSAUGA,MISSISSAUGA,P-513,OPEN,43.701625,-79.613538,0,0,0,0,0,0,0,0,0,0
155,NOT TO BE NAMED (P-511)*,0,LORNE PARK,RD,CITY OF MISSISSAUGA,MISSISSAUGA,P-511,OPEN,43.532129,-79.617983,0,0,0,0,0,0,0,0,0,0
156,SAMUEL COMMON,6893,GOLDEN HILLS,WAY,CITY OF MISSISSAUGA,MISSISSAUGA,P-444,OPEN,43.635362,-79.710962,0,0,0,0,0,1,1,0,0,0
157,NEEBIN PARK,635,KAISER,DR,CITY OF MISSISSAUGA,MISSISSAUGA,P-443,OPEN,43.638424,-79.723493,0,0,0,0,0,1,1,0,1,0
158,NOT YET NAMED (P-462) *(NORTH OF 403 ALONG MISSISSAUGA RD) (PINCHIN FARM),4415,MISSISSAUGA,RD,CITY OF MISSISSAUGA,MISSISSAUGA,P-462,WIP,43.564995,-79.687316,0,0,0,0,0,0,0,0,0,0
159,FRESCO WAY,600,CANYON,ST,CITY OF MISSISSAUGA,MISSISSAUGA,P-461,OPEN,43.546157,-79.603444,0,0,0,0,0,0,0,0,0,0
160,SOUTH MILLWAY GREEN,3465,SOUTH MILLWAY,,CITY OF MISSISSAUGA,MISSISSAUGA,P-227,OPEN,43.546835,-79.677332,0,0,0,0,0,1,0,0,0,0
161,R.K. MCMILLAN PARK,830,AVIATION,RD,CITY OF MISSISSAUGA,MISSISSAUGA,P-226,OPEN,43.565863,-79.563908,0,0,0,0,0,0,0,0,0,0
162,SYED JALALUDDIN MEMORIAL PARK,490,MISSISSAUGA VALLEY,BLVD,CITY OF MISSISSAUGA,MISSISSAUGA,P-186,OPEN,43.590521,-79.612604,0,0,0,0,1,1,0,0,0,0
163,ROCKWOOD GLEN,4247,HARTFIELD,GROV,CITY OF MISSISSAUGA,MISSISSAUGA,P-185,OPEN,43.630492,-79.605426,0,0,0,0,0,1,1,0,0,0
164,MEADOWVALE VILLAGE GREEN,985,OLD DERRY,RD,CITY OF MISSISSAUGA,MISSISSAUGA,P-449,OPEN,43.627362,-79.727798,0,0,0,0,0,0,0,0,0,0
165,NOT YET NAMED (P-448) *(SE OF LORELAND DR),2385,LORELAND,AVE,CITY OF MISSISSAUGA,MISSISSAUGA,P-448,WIP,43.611932,-79.568779,0,0,0,0,0,0,0,0,0,0
166,SAMUELSON PARK,1815,SAMUELSON,CIR,CITY OF MISSISSAUGA,MISSISSAUGA,P-405,OPEN,43.62444,-79.748166,0,0,0,0,0,1,4,0,0,0
167,PINE TREE HILL,2099,BURNHAMTHORPE,RD,CITY OF MISSISSAUGA,MISSISSAUGA,P-369,OPEN,43.547337,-79.683178,0,0,0,0,0,0,0,0,0,0
168,ASPEN RIDGE,7290,ASPEN,AVE,CITY OF MISSISSAUGA,MISSISSAUGA,P-332,OPEN,43.59089,-79.781901,0,0,0,0,0,1,1,0,0,0
169,RIVERWOOD,4190,RIVERWOOD PARK,LANE,CITY OF MISSISSAUGA,MISSISSAUGA,P-331,OPEN,43.564272,-79.674742,0,0,0,0,0,0,0,0,0,0
170,CRAWFORD GREEN,4565,GLEN ERIN,DR,CITY OF MISSISSAUGA,MISSISSAUGA,P-299,OPEN,43.554022,-79.708256,0,0,0,0,0,1,2,0,0,0
171,BLOOR ATHLETIC FIELD,830,LEXICON,DR,CITY OF MISSISSAUGA,MISSISSAUGA,P-075,OPEN,43.606226,-79.607148,0,0,0,0,0,0,0,1,0,0
172,LORNE PARK COMMUNITY CENTRE,1288,LORNE PARK,RD,CITY OF MISSISSAUGA,MISSISSAUGA,P-041,OPEN,43.531123,-79.621973,0,0,0,0,0,0,0,0,0,0
173,VALLEY PARK,1666,TARN,RD,CITY OF MISSISSAUGA,MISSISSAUGA,P-040,OPEN,43.605741,-79.562202,0,0,0,0,0,0,0,0,0,0
174,GLENDENNING PARK,50,FALCONER,DR,CITY OF MISSISSAUGA,MISSISSAUGA,P-117,OPEN,43.596939,-79.728446,0,0,0,0,0,0,0,0,0,0
175,GATINEAU GREEN,116,FALCONER,DR,CITY OF MISSISSAUGA,MISSISSAUGA,P-116,OPEN,43.601378,-79.729615,0,0,0,0,0,1,0,0,0,0
176,DIXIE WOODS,1385,WINDING,TR,CITY OF MISSISSAUGA,MISSISSAUGA,P-088,OPEN,43.619872,-79.600408,0,0,0,0,0,0,0,0,0,0
178,THORNCREST PARK,3295,THORNCREST,DR,CITY OF MISSISSAUGA,MISSISSAUGA,P-280,OPEN,43.53173,-79.708692,0,0,0,0,0,1,0,0,0,0
179,TRELAWNY WOODS,3500,TRELAWNY,CIR,CITY OF MISSISSAUGA,MISSISSAUGA,P-279,OPEN,43.572811,-79.77042,0,0,0,0,0,1,1,0,0,0
180,APPLEWOOD HEIGHTS,3119,CONSTITUTION,BLVD,CITY OF MISSISSAUGA,MISSISSAUGA,P-011,OPEN,43.606822,-79.592859,0,4,0,0,0,1,1,0,0,0
181,VANESSA PARK,1365,WATESKA,BLVD,CITY OF MISSISSAUGA,MISSISSAUGA,P-010,OPEN,43.548907,-79.606264,0,0,0,0,1,1,0,0,0,0
182,NOT TO BE NAMED (P-237) *(SE OF ELAINE TR| NW OF CLAREDALE RD),360,ORANO,AVE,CITY OF MISSISSAUGA,MISSISSAUGA,P-237,OPEN,43.570523,-79.584699,0,0,0,0,0,0,0,0,0,0
183,NOT YET NAMED (P-236) *(EAST OF CREEBANK RD BETWEEN EGLINGTON AND 401),1920,SISMET,RD,CITY OF MISSISSAUGA,MISSISSAUGA,P-236,OPEN,43.649896,-79.6159,0,0,0,0,0,0,0,0,0,0
184,COOKSVILLE FOUR CORNERS,10,DUNDAS,ST,,MISSISSAUGA,P-518,OPEN,43.580264,-79.615847,0,0,0,0,0,0,0,0,0,0
185,NOT YET NAMED (P-517)*,0,NINTH LINE,,,MISSISSAUGA,P-517,OPEN,43.555905,-79.763387,0,0,0,0,0,0,0,0,0,0
186,CABANO HILL PARK,5335,OSCAR PETERSON,BLVD,CITY OF MISSISSAUGA,MISSISSAUGA,P-490,OPEN,43.552409,-79.727528,0,0,0,0,0,0,0,0,0,0
187,MISSISSAUGA - MEADOWVALE ROTARY PARK,3302,TACC,DR,CITY OF MISSISSAUGA,MISSISSAUGA,P-489,OPEN,43.548848,-79.734029,0,0,0,0,0,0,3,0,0,0
188,AQUINAS PARK,3400,AQUINAS,AVE,CITY OF MISSISSAUGA,MISSISSAUGA,P-463,OPEN,43.541809,-79.720935,0,0,0,1,0,1,3,0,0,0
189,CREDITVIEW WOODS,899,RATHBURN,RD,CITY OF MISSISSAUGA,MISSISSAUGA,P-229,OPEN,43.581083,-79.661715,0,0,0,0,0,0,1,1,0,0
190,WOODCHUCK GREEN,3980,WOODCHUCK,LANE,CITY OF MISSISSAUGA,MISSISSAUGA,P-228,OPEN,43.55366,-79.678807,1,0,0,0,0,0,0,0,0,0
191,GOLDEN ORCHARD PARK,1261,SCOTTSBURG,CRES,CITY OF MISSISSAUGA,MISSISSAUGA,P-189,OPEN,43.621957,-79.60766,0,0,0,0,1,1,0,0,0,0
192,HEATHERLEIGH PARK,5284,HEATHERLEIGH,AVE,CITY OF MISSISSAUGA,MISSISSAUGA,P-368,OPEN,43.594248,-79.680884,0,0,0,0,0,1,0,1,0,0
193,ASHGATE PARK,846,RATHBURN,RD,CITY OF MISSISSAUGA,MISSISSAUGA,P-187,OPEN,43.579175,-79.658352,0,0,0,0,0,1,0,0,0,0
194,PARKWAY GREEN,4215,CENTRAL,PKY,CITY OF MISSISSAUGA,MISSISSAUGA,P-152,OPEN,43.605569,-79.631094,0,0,0,0,0,1,0,0,0,0
195,SOUTH COMMON,3555,GLEN ERIN,DR,CITY OF MISSISSAUGA,MISSISSAUGA,P-151,OPEN,43.541107,-79.686392,1,0,0,0,0,1,1,0,1,0
196,NOT TO BE NAMED (P-241) *(NE OF SHAWANAGA TR),2199,SHAWANAGA,TR,CITY OF MISSISSAUGA,MISSISSAUGA,P-241,OPEN,43.543252,-79.655594,0,0,0,0,0,0,0,0,0,0
197,JON CLIPPERTON PARK,190,CHURCH,ST,CITY OF MISSISSAUGA,MISSISSAUGA,P-512,OPEN,43.582152,-79.712937,0,0,0,0,0,0,0,0,0,0
198,UNION PARK,6627,TENTH LINE WEST,,CITY OF MISSISSAUGA,MISSISSAUGA,P-519,OPEN,43.580294,-79.769402,0,2,0,0,0,1,0,0,0,0
199,SHELBY PARK,4220,SHELBY,CRES,CITY OF MISSISSAUGA,MISSISSAUGA,P-198,OPEN,43.614766,-79.62114,0,0,0,0,0,1,0,0,0,0
201,ERIN CENTRE TRAIL,3145,ARTESIAN,DR,CITY OF MISSISSAUGA,MISSISSAUGA,P-470,OPEN,43.545657,-79.719855,0,0,0,0,0,0,0,0,0,0
202,NOT YET NAMED (P-469) *(EAST OF LANGPORT CRT ALONG MCLAUGHLIN RD),5605,MCLAUGHLIN,RD,CITY OF MISSISSAUGA,MISSISSAUGA,P-469,OPEN,43.609875,-79.678677,0,0,0,0,0,0,0,0,0,0
203,BRADLEY MUSEUM GROUNDS,1620,ORR,RD,CITY OF MISSISSAUGA,MISSISSAUGA,P-406,OPEN,43.51193,-79.611149,0,0,0,0,0,0,0,0,0,0
204,CASTLEGREEN MEADOWS,2829,CASTLEBRIDGE,DR,CITY OF MISSISSAUGA,MISSISSAUGA,P-371,OPEN,43.567595,-79.735394,0,0,0,0,0,0,1,1,0,0
205,OAK TREE PARK,1760,HOLLOW OAK,TERR,CITY OF MISSISSAUGA,MISSISSAUGA,P-193,OPEN,43.52037,-79.627198,0,0,0,0,0,0,0,0,0,0
206,RICHARD F.C. MORTENSEN PARK,1665,BURNHAMTHORPE,RD,CITY OF MISSISSAUGA,MISSISSAUGA,P-192,OPEN,43.558658,-79.675645,0,0,0,0,0,1,0,0,0,0
207,CARRIAGE WAY,2544,OLD CARRIAGE,RD,CITY OF MISSISSAUGA,MISSISSAUGA,P-157,OPEN,43.551984,-79.642362,0,0,0,0,0,1,0,0,0,0
208,BRUECKNER RHODODENDRON GARDENS,660,LAKESHORE,RD,CITY OF MISSISSAUGA,MISSISSAUGA,P-156,OPEN,43.540249,-79.595418,0,0,0,0,0,0,0,0,0,0
209,FOREST PARK,6810,FOREST PARK,DR,CITY OF MISSISSAUGA,MISSISSAUGA,P-372,OPEN,43.57627,-79.775464,0,0,0,0,0,1,1,1,0,0
210,DUNCAIRN DOWNS,2860,DUNCAIRN,DR,CITY OF MISSISSAUGA,MISSISSAUGA,P-370,OPEN,43.558437,-79.724108,0,0,0,0,0,1,1,1,0,0
211,LISGAR MEADOW BROOK,3805,DOUG LEAVENS,BLVD,CITY OF MISSISSAUGA,MISSISSAUGA,P-334,OPEN,43.586529,-79.792541,0,0,0,0,0,0,0,0,0,0
212,BIDWELL TRAIL COMMON,6075,BIDWELL,TR,CITY OF MISSISSAUGA,MISSISSAUGA,P-333,OPEN,43.602751,-79.710501,0,0,0,0,0,1,0,1,0,0
213,GARTHWOOD PARK,3170,GARTHWOOD,RD,CITY OF MISSISSAUGA,MISSISSAUGA,P-301,OPEN,43.525533,-79.693668,0,0,0,0,1,1,2,1,0,0
214,NINTH LINE SPORTS PARK,3115,NINTH LINE,,CITY OF MISSISSAUGA,MISSISSAUGA,P-300,OPEN,43.510773,-79.699157,2,0,0,0,0,0,0,0,0,0
215,BURNHAMTHORPE LIBRARY GROUNDS,3650,DIXIE,RD,CITY OF MISSISSAUGA,MISSISSAUGA,P-043,OPEN,43.621251,-79.602486,0,0,0,0,0,0,0,0,0,0
217,RIVERRUN PARK,51,FALCONER,DR,CITY OF MISSISSAUGA,MISSISSAUGA,P-119,OPEN,43.598565,-79.724561,0,0,0,0,0,0,0,0,0,0
218,RIVERVIEW PARK,1735,BRITANNIA,RD,CITY OF MISSISSAUGA,MISSISSAUGA,P-118,OPEN,43.593869,-79.718476,0,0,0,0,0,0,0,0,0,0
219,MALTON GREENWAY,3555,ETUDE,DR,CITY OF MISSISSAUGA,MISSISSAUGA,P-090,OPEN,43.730672,-79.645231,0,0,0,0,0,0,0,0,0,0
220,KING'S MASTING PARK,3389,MARTIN'S PINE,CRES,CITY OF MISSISSAUGA,MISSISSAUGA,P-089,OPEN,43.531762,-79.685987,0,0,0,0,0,1,1,0,0,0
221,HYDE'S MILL HOLLOW,1630,SIR MONTY'S,DR,CITY OF MISSISSAUGA,MISSISSAUGA,P-282,OPEN,43.599828,-79.723331,0,0,0,0,0,0,0,0,0,0
222,TILLSDOWN PARK,1620,SIR MONTY'S,DR,CITY OF MISSISSAUGA,MISSISSAUGA,P-281,OPEN,43.597348,-79.718702,0,1,0,0,0,1,0,1,0,0
223,RIDGEWOOD PARK,7239,CAMBRETT,DR,CITY OF MISSISSAUGA,MISSISSAUGA,P-013,OPEN,43.716321,-79.640911,0,0,0,0,1,1,1,0,1,0
224,JACK DARLING MEMORIAL PARK,1180,LAKESHORE,RD,CITY OF MISSISSAUGA,MISSISSAUGA,P-012,OPEN,43.526985,-79.605292,0,0,0,0,0,2,0,0,1,0
225,NOT TO BE NAMED (P-240) *(NORTH OF AUTUMN BREEZE DR N),2159,AUTUMN BREEZE,DR,CITY OF MISSISSAUGA,MISSISSAUGA,P-240,OPEN,43.57054,-79.61057,0,0,0,0,0,0,0,0,0,0
226,SHAVER TRAIL,4070,PONYTRAIL,DR,CITY OF MISSISSAUGA,MISSISSAUGA,P-239,OPEN,43.632764,-79.596269,0,0,0,0,0,0,0,0,0,0
227,SYNTEX GREEN,2180,SYNTEX,CRT,CITY OF MISSISSAUGA,MISSISSAUGA,P-242,OPEN,43.604362,-79.753353,0,0,0,0,0,0,0,1,0,0
228,CLIFF PARK,2150,CLIFF,RD,CITY OF MISSISSAUGA,MISSISSAUGA,P-014,OPEN,43.578804,-79.596286,0,0,0,0,0,0,0,0,0,0
229,TECUMSEH PARK,1115,TECUMSEH PARK,DR,CITY OF MISSISSAUGA,MISSISSAUGA,P-015,OPEN,43.541099,-79.607996,0,0,0,0,0,0,0,0,0,0
230,TOMKEN TWIN ARENA GROUNDS,4495,TOMKEN,RD,CITY OF MISSISSAUGA,MISSISSAUGA,P-283,OPEN,43.623876,-79.623799,0,0,0,0,0,0,0,0,0,0
232,ALBERT MCBRIDE PARK,3811,TEESWATER,RD,CITY OF MISSISSAUGA,MISSISSAUGA,P-091,OPEN,43.728206,-79.633247,0,0,0,0,0,1,1,0,0,0
233,MCKENZIE PARK,575,MISSISSAUGA VALLEY,BLVD,CITY OF MISSISSAUGA,MISSISSAUGA,P-092,OPEN,43.594635,-79.613257,0,0,0,0,1,1,1,0,0,0
234,MEADOWVALE TRAIL,2833,AQUITAINE,AVE,CITY OF MISSISSAUGA,MISSISSAUGA,P-120,OPEN,43.587971,-79.762748,0,0,0,0,0,0,0,0,0,0
235,SHERIDAN PARK,2200,SHERIDAN PARK,DR,CITY OF MISSISSAUGA,MISSISSAUGA,P-121,OPEN,43.525875,-79.659875,0,0,0,0,0,1,0,1,0,0
236,BANCROFT PARK,955,BANCROFT,DR,CITY OF MISSISSAUGA,MISSISSAUGA,P-376,OPEN,43.613389,-79.707427,0,0,0,0,0,1,1,0,0,0
237,STREETSVILLE ROTARY PARK,108,QUEEN,ST,CITY OF MISSISSAUGA,MISSISSAUGA,P-375,OPEN,43.583802,-79.717351,0,0,0,0,0,1,0,0,0,0
238,KING'S PARK,7185,DIXIE,RD,CITY OF MISSISSAUGA,MISSISSAUGA,P-338,OPEN,43.683062,-79.68176,0,0,0,0,0,0,0,3,0,0
239,PINETREE GROVE,6950,MILLCREEK,DR,CITY OF MISSISSAUGA,MISSISSAUGA,P-337,OPEN,43.595236,-79.758184,0,0,0,0,0,0,0,0,0,0
240,DEAN HENDERSON MEMORIAL PARK,2909,HAMMOND,RD,CITY OF MISSISSAUGA,MISSISSAUGA,P-305,OPEN,43.533511,-79.659658,0,0,0,0,0,1,0,1,0,0
243,SILVERTHORN PARK,3377,CAWTHRA,RD,CITY OF MISSISSAUGA,MISSISSAUGA,P-046,OPEN,43.60315,-79.609464,0,0,0,0,1,1,0,0,0,0
244,FAIRBIRCH PARK,975,FAIR BIRCH,DR,CITY OF MISSISSAUGA,MISSISSAUGA,P-124,OPEN,43.536865,-79.6087,0,0,0,0,0,0,0,0,0,0
245,WINDWOOD PARK,2795,WINDWOOD,DR,CITY OF MISSISSAUGA,MISSISSAUGA,P-123,OPEN,43.575516,-79.742434,0,0,0,0,1,1,0,0,0,0
246,MCCAUGHERTY GREEN,1629,BRISTOL,RD,CITY OF MISSISSAUGA,MISSISSAUGA,P-292,OPEN,43.585101,-79.701605,0,0,0,0,0,0,0,0,0,0
247,BRENTWOOD PARK,496,KAREN PARK,CRES,CITY OF MISSISSAUGA,MISSISSAUGA,P-093,OPEN,43.595814,-79.619171,0,0,0,0,0,1,0,0,0,0
248,GREYSHALE PARK,5065,HERITAGE HILLS,BLVD,CITY OF MISSISSAUGA,MISSISSAUGA,P-287,OPEN,43.601564,-79.663231,0,0,0,0,1,1,0,1,0,0
249,HEWICK MEADOWS,4420,CREDIT POINTE,DR,CITY OF MISSISSAUGA,MISSISSAUGA,P-286,OPEN,43.567258,-79.684843,0,0,0,0,0,0,0,0,0,0
250,CEDARBROOK PARK,1095,RUNNINGBROOK,DR,CITY OF MISSISSAUGA,MISSISSAUGA,P-017,OPEN,43.614141,-79.605318,0,0,0,0,0,0,0,0,0,0
251,WATERSEDGE PARK,1642,WATERSEDGE,RD,CITY OF MISSISSAUGA,MISSISSAUGA,P-016,OPEN,43.507094,-79.602307,0,0,0,0,0,0,0,0,0,0
252,GORDON S. SHIPP MEMORIAL PARK,84,ROBERT SPECK,PKY,CITY OF MISSISSAUGA,MISSISSAUGA,P-244,OPEN,43.59784,-79.634415,0,0,0,0,0,0,0,0,0,0
253,NOT TO BE NAMED (P-243) *(EAST OF ANTIGUA RD),170,PAISLEY,BLVD,CITY OF MISSISSAUGA,MISSISSAUGA,P-243,OPEN,43.572125,-79.613315,0,0,0,0,0,0,0,0,0,0
254,NOT YET NAMED (P-522)*,0,SOUTH SHERIDAN,WAY,CITY OF MISSISSAUGA,MISSISSAUGA,P-522,OPEN,43.509763,-79.661233,0,0,0,0,0,0,0,0,0,0
255,PALLETT GREEN,1576,DUNDAS,ST,,MISSISSAUGA,P-521,OPEN,43.609356,-79.570532,0,0,0,0,0,0,0,0,0,0
256,NOT YET NAMED (P-492)* (NE OF SAINT BABARA BLVD AND PANHELLENIC DR),7339,SAINT BARBARA,BLVD,CITY OF MISSISSAUGA,MISSISSAUGA,P-492,OPEN,43.645876,-79.719138,0,0,0,0,0,0,0,0,0,0
257,ICELAND ARENA & SPORTS PARK,715,MATHESON,BLVD,CITY OF MISSISSAUGA,MISSISSAUGA,P-357,OPEN,43.625099,-79.644574,0,0,0,1,0,1,0,0,1,0
258,PETRO CANADA PARK,670,SOUTHDOWN,RD,CITY OF MISSISSAUGA,MISSISSAUGA,P-475,OPEN,43.503789,-79.622149,0,0,0,1,0,0,3,0,0,0
259,COMMUNITY COMMON PARK,355,PRINCESS ROYAL,DR,CITY OF MISSISSAUGA,MISSISSAUGA,P-471,OPEN,43.588248,-79.647039,0,0,0,0,0,0,0,0,0,0
